seuil,cout,faux_negatifs,faux_positifs,clients_contactes
0.9214,700600.0,1401,1,2
0.9263,700600.0,1401,1,2
0.9312,701050.0,1402,1,1
0.9361,701050.0,1402,1,1
0.941,701050.0,1402,1,1
0.9459,701000.0,1402,0,0
0.9508,701000.0,1402,0,0
0.9557,701000.0,1402,0,0
0.9606,701000.0,1402,0,0
0.9655,701000.0,1402,0,0
0.9704,701000.0,1402,0,0
0.9753,701000.0,1402,0,0
0.9802,701000.0,1402,0,0
0.9851,701000.0,1402,0,0
0.99,701000.0,1402,0,0
